"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
1968-388X,,Revue internationale de l'éducation familiale,FALSE,dir de pub,"CERLIS, U. Paris Descartes",Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-la-revue-internationale-de-l-education-familiale.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
2554-3555,,Revue internationale des études du développement,FALSE,editorial board,Paris 7,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-internationale-des-etudes-du-developpement.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
2496-9087,,Sensibilités,FALSE,editorial board,université Paris-Diderot,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-sensibilites.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
1950-6899,,Sociétés contemporaines,FALSE,editorial board,"Université de Paris, Centre de recherche sur les liens sociaux (Cerlis) ; IRD (CESSMA), Université de Paris",Sociétés et Humanités,HSS,2,https://www.cairn.info/revue-societes-contemporaines.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
1782-1568,,STAPS,FALSE,editorial board,Université de Paris-Descartes,Santé,Health,1,https://www.cairn.info/revue-staps.htm?contenu=apropos,,Cairn,,Subscription,,,2022-03-08,catalogue Cairn
1245-2300,2000,Exils et migrations ibériques aux XXe et XXIe siècles,FALSE,,,Sociétés et Humanités,HSS,,http://cermi.fr/histoire-de-la-revue/#xd_co_f=NTg2M2ExZTMtYzgxNC00YTNhLTgzN2YtZTg5ZjBjMGNlYjMz~,association : CERMI,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
1776-2936,,L'Espace géographique,FALSE,editorial board,"université Paris Diderot, LCSP ; université de Paris, Centre d’histoire du XIXe siècle",Sociétés et Humanités,HSS,3,https://www.cairn.info/revue-espace-geographique.htm?contenu=apropos,laboratoire : Unité mixte de recherche 8504  Géographie-cités,Cairn ; Belin-Humensis,,Subscription,,,2022-03-04,catalogue Cairn
2104-3779,,Terrains & travaux,FALSE,editorial board,"Université Paris Descartes, CERLIS",Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-terrains-et-travaux.htm?contenu=apropos,,Cairn ; ENS Paris-Saclay,,Subscription,,,2022-03-08,catalogue Cairn
2101-0382,,Langage et société,FALSE,editorial board,Paris Descartes,Sociétés et Humanités,HSS,4,https://www.cairn.info/revue-langage-et-societe.htm?contenu=apropos,,Cairn ; Fondation Maison des sciences de l’homme,,Subscription,,,2022-03-04,catalogue Cairn
1965-0620,,Revue française d'administration publique,FALSE,editorial board,université de Paris Descartes,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-francaise-d-administration-publique.htm?contenu=apropos,,Cairn ; Institut national du service public,,Subscription,,,2022-03-08,catalogue Cairn
1968-3758,,Agora Débats/Jeunesses,FALSE,editorial board,"université Paris Descartes, CERLIS",Sociétés et Humanités,HSS,2,https://www.cairn.info/revue-agora-debats-jeunesses.htm?contenu=apropos,institut : INJEP ,Cairn ; Presses de Science Po,,Subscription,,,2022-03-04,catalogue Cairn
1950-6694,,Revue économique,FALSE,editorial board,Université Paris Diderot (Paris 7) / LADYSS,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-economique.htm?contenu=apropos,,Cairn ; Presses de SciencesPo,,Subscription,,,2022-03-08,catalogue Cairn
1778-7459,,Communication & Langages,FALSE,editorial board,Université Paris-Descartes,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-communication-et-langages.htm?contenu=apropos,,Cairn ; Presses Universitaires de France,,Subscription,,,2022-03-04,catalogue Cairn
1955-2580,,L'Année psychologique,TRUE,dir de pub ; editorial board,université Paris Descartes,Santé,Health,12,https://www.cairn.info/revue-l-annee-psychologique.htm?contenu=apropos,,Cairn ; Presses Universitaires de France,,Subscription,,,2022-03-04,catalogue Cairn
1969-6760,,L'Année sociologique,FALSE,editorial board,université de Paris,Sociétés et Humanités,HSS,1,https://www.cairn.info/revue-l-annee-sociologique.htm?contenu=apropos,,Cairn ; Presses Universitaires de France,,Subscription,,,2022-03-04,catalogue Cairn
2259-5309,2018,Les Cahiers du Centre Georges Canguilhem,FALSE,,Université Paris VII-Denis Diderot ,Sociétés et Humanités,HSS,,https://www.cairn.info/revue-les-cahiers-du-centre-georges-canguilhem.htm?contenu=apropos,laboratoire : Centre Georges Canguilhem ,Cairn,,Subscription,,,2022-03-04,catalogue Cairn
2590-0544,,"Chaos, solitons & fractals : X",FALSE,honorary editor,University Paris 7 Denis Diderot,Sciences,ST,1,https://www.journals.elsevier.com/chaos-solitons-and-fractals-x/editorial-board,,Elsevier,,Gold APC,,1365,2022-03-09,catalogue Elsevier
0009-2541,,Chemical Geology,FALSE,editorial board,Institute of Earth Physics of Paris,IPGP,ST,1,https://www.journals.elsevier.com/chemical-geology/editorial-board,association : European Association of Geochemistry,Elsevier,,Gold APC,,2779,2022-03-09,catalogue Elsevier
