"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
2532-0319,,Education & sociétés plurilingues,FALSE,reviewer,"Université René Descartes, Paris",Sociétés et Humanités,HSS,1,https://journals.openedition.org/esp/453,association : Centre d'Information sur l'Éducation Bilingue et Plurilingue,OpenEdition,,Diamond,no licence,,2022-03-01,catalogue openedition
1634-0450,,Etudes Epistémè,FALSE,reviewer,Paris Diderot,Sociétés et Humanités,HSS,2,https://journals.openedition.org/episteme/190,association : Association Études Épistémè,OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
1298-0390,,Face à face,FALSE,editorial board ; dir de pub,UMR 196 (Paris Descartes Ined IRD) ,Santé,Health,2,https://journals.openedition.org/faceaface/58,laboratoire : UMR 912 SE4S,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
2104-3736,,"Genre, sexualité et société",FALSE,editorial board,université Paris-Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/gss/983,laboratoire : IRIS-EHESS,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1950-5701,,"IdeAs, Idées d'Amériques",FALSE,international editorial board,"histoire et société (Canada et États-Unis), Université Paris Diderot",Sociétés et Humanités,HSS,1,https://journals.openedition.org/ideas/208,GIS : Institut des Amériques,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1778-3801,,Images re-vues,FALSE,editorial board,Université de Paris (ICT) ; Université de Paris (ANHIMA),Sociétés et Humanités,HSS,2,https://journals.openedition.org/imagesrevues/1510,"laboratoire : UMR 8210 Anthropologie et Histoire des Mondes Antiques, Groupe d’Anthropologie Historique de l’Occident Médiéval, Centre d’Histoire et Théorie des Arts, Laboratoire d’Anthropologie Sociale",OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
2427-920X,,Itinéraires,FALSE,reviewer,Université Paris Diderot-Paris 7,Sociétés et Humanités,HSS,1,https://journals.openedition.org/itineraires/2253,,OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
1957-7850,,Journal des Africanistes,FALSE,editorial board,"Canthel EA 4545, Université Paris Descartes, IUF ; ECEVE, UMR 1123, Université Paris-Diderot",Sociétés et Humanités,HSS,2,https://journals.openedition.org/africanistes/738,association : Société des africanistes,OpenEdition,,Diamond,no licence,,2022-03-04,catalogue openedition
2263-8989,,La Nouvelle Revue du Travail,FALSE,editorial board,Université Paris VII,Sociétés et Humanités,HSS,1,https://journals.openedition.org/nrt/528,,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1760-4761,,Les Cahiers de Framespa,FALSE,reviewer,Université de Paris-Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/framespa/294,laboratoire : FRAMESPA UMR 5136 ,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
1950-6821,,Mathématiques et sciences humaines,TRUE,editorial board,"Centre de recherches informatiques (CRIP5), Université Paris V ; Laboratoire de psychologie environnementale, Université Paris V-CNRS ; Université Paris Diderot, Paris VII, UFR de Linguistique, Histoire des théories linguistiques ; Centre de recherche sur les liens sociaux (CERLIS), Université Paris V-CNRS ; Groupe d'études pour l'Europe de la culture et de la solidarité, Faculté des sciences humaines et sociales, Université Paris V",Sciences ; Sociétés et Humanités,ST,5,https://journals.openedition.org/msh/3237,laboratoire : Centre d’analyse et de mathématique sociales de l’EHESS,OpenEdition,,Diamond,no licence,,2022-03-04,catalogue openedition
1626-0252,,Nuevo mundo mundos nuevos,FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/nuevomundo/30756,laboratoire : Mondes américains,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
2269-8450,,OEconomia,FALSE,editorial board,Université Paris Descartes,Sociétés et Humanités,HSS,1,https://journals.openedition.org/oeconomia/362,association : Association Œconomia,OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
2119-5242,,Recherche et pratiques pédagogiques en langues de spécialité,FALSE,reviewer,Université Diderot-Paris 7,Sociétés et Humanités,HSS,1,https://journals.openedition.org/apliut/1643#tocto1n1,association : APLIUT,OpenEdition,,Diamond,,,2022-03-03,catalogue openedition
2101-048X,,Revue de recherche en civilisation américaine,FALSE,editorial board,Université Paris 7  ,Sociétés et Humanités,HSS,1,https://journals.openedition.org/rrca/206,,OpenEdition,,Diamond,no licence,,2022-03-03,catalogue openedition
1992-2655,,SociologieS,FALSE,reviewer,université Paris-Diderot,Sociétés et Humanités,HSS,3,https://journals.openedition.org/sociologies/287,association : Association internationale des sociologues de langue française (AISLF),OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
1765-2766,,Transatlantica,FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/transatlantica/370,association : Association française d'Etudes Américaines (AFEA),OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
2117-590X,,XVII-XVIII,FALSE,editorial board,Paris VII  ,Sociétés et Humanités,HSS,1,https://journals.openedition.org/1718/269,association : Société d'études anglo-américaines des XVIIe et XVIIIe siècles,OpenEdition,,Diamond,,,2022-03-01,catalogue openedition
2554-3822,,Clio,FALSE,editorial board,Université Paris Diderot ; Université Paris Descartes,Sociétés et Humanités,HSS,2,https://journals.openedition.org/cliowgh/269,,OpenEdition ; Belin,,Diamond,,,2022-03-01,catalogue openedition
1724-2134,,Mélanges de l'Ecole française de Rome - Antiquité,FALSE,reviewer,Université de Paris 7-Denis Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/mefra/224,,OpenEdition ; École française de Rome,,Diamond,,,2022-03-03,catalogue openedition
1950-568X,,Volume !,FALSE,comité de parrainage international,Université Paris vii – Paris Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/volume/4426,,OpenEdition ; Edition Mélanie Seteun,,Delayed OA,OA après embargo de 2 ans,,2022-03-03,catalogue openedition
1777-5353,,Cahiers d'études africaines,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,2,https://journals.openedition.org/etudesafricaines/208,,OpenEdition ; Éditions de l’EHESS,,Delayed OA,OA après embargo de 2 ans,,2022-03-04,catalogue openedition
2265-7762,,Cahiers de la recherche sur l'éducation et les savoirs,FALSE,editorial board,"U. Paris Descartes, CERLIS ; U. Paris Descartes, EDA ; U. de Paris, URMIS",Sociétés et Humanités,HSS,4,https://journals.openedition.org/cres/1562,,OpenEdition ; Editions de la Maison des Sciences de l'Homme,,Diamond,,,2022-03-03,catalogue openedition
1775-4283,,Philosophia Scientae,FALSE,editorial board,"SPHERE (UMR 7219), Université de Paris (France)",Sociétés et Humanités,HSS,1,https://journals.openedition.org/philosophiascientiae/448,,OpenEdition ; Editions Kimé,,Diamond,,,2022-03-03,catalogue openedition
1929-7017,,Ethique publique,FALSE,editorial board,Université Paris-Descartes,Sociétés et Humanités,HSS,1,https://journals.openedition.org/ethiquepublique/255,,OpenEdition ; Editions Nota Bene,,Diamond,,,2022-03-03,catalogue openedition
1960-6001,,"Mots, le langage du politique",FALSE,editorial board,Université Paris-Descartes/Ceditec ; Université Paris Descartes/EDA,Sociétés et Humanités,HSS,2,https://journals.openedition.org/mots/75,,OpenEdition ; ENS Éditions,,Delayed OA,OA après embargo de 2 ans,,2022-03-04,catalogue openedition
1968-3936,,Recherche & Formation,TRUE,editorial board ; reviewer,université de Paris  ,Sociétés et Humanités,HSS,7,https://journals.openedition.org/rechercheformation/1246,,OpenEdition ; ENS Éditions,,Delayed OA,OA après embargo de 3 ans,,2022-03-03,catalogue openedition
2271-5649,,RDST - Recherches en didactique des sciences et des technologies,FALSE,editorial board,"université de Paris, LDAR",Sciences,ST,1,https://journals.openedition.org/rdst/633,,OpenEdition ; ENS Éditions,,Diamond,,,2022-03-01,catalogue openedition
2275-1947,,Etudes finno-ougriennes,FALSE,editorial board,Paris VII,Sociétés et Humanités,HSS,1,https://journals.openedition.org/efo/1535,,OpenEdition ; INALCO,,Diamond,,,2022-03-01,catalogue openedition
2109-9421,,Droit & Cultures,FALSE,editorial board,CANTHEL Paris Descartes,Sociétés et Humanités,HSS,1,https://journals.openedition.org/droitcultures/2085,,OpenEdition ; L'Harmattan,,Diamond,,,2022-03-03,catalogue openedition
1760-5776,,Cahiers d'études du religieux,FALSE,editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://journals.openedition.org/cerri/90,,OpenEdition ; Maison des sciences de l'homme de Montpellier,,Diamond,,,2022-03-03,catalogue openedition
2101-0714,,Appareil,FALSE,reviewer,Paris Diderot – études cinématographiques,Sociétés et Humanités,HSS,1,https://journals.openedition.org/appareil/87,,OpenEdition ; MSH Paris Nord,,Diamond,,,2022-03-01,catalogue openedition
2108-6605,,Les carnets du Cediscor,FALSE,editorial board,université Paris Descartes  ,Sociétés et Humanités,HSS,3,https://journals.openedition.org/cediscor/879,,OpenEdition ; Presses Sorbonne Nouvelle,,Diamond,no licence,,2022-03-03,catalogue openedition
1961-8603,,Les Cahiers d'outre-mer,FALSE,editorial board,"MCF Géographie, Université Paris-Diderot, UMR 8586 Prodig",Sociétés et Humanités,HSS,1,https://journals.openedition.org/com/2281,,OpenEdition ; Presses universitaires de Bordeaux,,Delayed OA,OA après embargo d'un an,,2022-03-04,catalogue openedition
1957-780X,,Semen,FALSE,reviewer,Université Denis Diderot-Paris 7,Sociétés et Humanités,HSS,1,https://journals.openedition.org/semen/2960,,OpenEdition ; Presses universitaires de Franche-Comté,,Diamond,no licence,,2022-03-04,catalogue openedition
2271-6149,,Cahiers victoriens et edouardiens,FALSE,reviewer,Université Paris VII,Sociétés et Humanités,HSS,1,https://journals.openedition.org/cve/131,,OpenEdition ; Presses universitaires de la Méditerranée,,Diamond,,,2022-03-01,catalogue openedition
2271-6092,,Education et socialisation,FALSE,reviewer,Université Paris Descartes ; Université Paris 5,Sociétés et Humanités,HSS,2,https://journals.openedition.org/edso/391,,OpenEdition ; Presses universitaires de la Méditerranée,,Diamond,,,2022-03-01,catalogue openedition
2271-5444,,Etudes britanniques contemporaines,FALSE,comité exécutif,Université Paris 7,Sociétés et Humanités,HSS,1,https://journals.openedition.org/ebc/1047,,OpenEdition ; Presses universitaires de la Méditerranée,,Diamond,,,2022-03-01,catalogue openedition
2553-1719,,Anthropologie & Développement,FALSE,reviewer,"Université Paris Descartes, Paris",Sociétés et Humanités,HSS,1,https://journals.openedition.org/anthropodev/344,,OpenEdition ; Presses universitaires de Louvain,,Diamond,,,2022-03-01,catalogue openedition
2262-8363,,Moussons,FALSE,editorial board,Université Paris-Diderot,Sociétés et Humanités,HSS,1,https://journals.openedition.org/moussons/1361,,OpenEdition ; Presses Universitaires de Provence,,Diamond,,,2022-03-03,catalogue openedition
2416-8742,,Marges,FALSE,editorial board,Université Paris 7,Sociétés et Humanités,HSS,1,https://journals.openedition.org/marges/78,,OpenEdition ; Presses universitaires de Vincennes,,Diamond,,,2022-03-01,catalogue openedition
2606-9245,,Artefact,TRUE,directrice de la revue ; editorial board,Univ. de Paris-ICT,Sociétés et Humanités,HSS,2,https://journals.openedition.org/artefact/269,association : Artefact. Techniques,OpenEdition ; Presses universitaires du Midi,,Diamond,,,2022-03-01,catalogue openedition
2273-0311,,Littératures,FALSE,reviewer,"littérature des XXe et XXIe siècles, Université Paris – Diderot",Sociétés et Humanités,HSS,1,https://journals.openedition.org/litteratures/170,,OpenEdition ; Presses universitaires du Midi,,Diamond,,,2022-03-01,catalogue openedition
2557-2113,,"Histoire, médecine et santé",FALSE,responsable des varias ; editorial board,"ICT (EA 3337), Université de Paris ; LARCA (UMR 8225), Université de Paris",Sociétés et Humanités,HSS,2,https://journals.openedition.org/hms/91,,OpenEdition ; Presses universitaires du Midi  ,,Diamond,,,2022-03-01,catalogue openedition
2101-0609,,"ILCEA. Revue de l’Institut des langues et cultures d'Europe, Amérique, Afrique, Asie et Australie",FALSE,reviewer,"MCF HDR Paris Diderot, Civilisation britannique",Sociétés et Humanités,HSS,1,https://journals.openedition.org/ilcea/377,laboratoire : laboratoire ILCEA4 (UGA),OpenEdition ; UGA Éditions,,Diamond,,,2022-03-03,catalogue openedition
1760-7426,,Revue de géographie alpine,FALSE,editorial board,"UMR 8586 PRODIG, Université Paris Diderot",Sociétés et Humanités,HSS,1,https://journals.openedition.org/rga/755,association : Association pour la diffusion de la recherche alpine,OpenEdition ; UGA Éditions,,Diamond,,,2022-03-03,catalogue openedition
1775-433X,,Questions vives,FALSE,editorial board,Université Paris-Descartes,Sociétés et Humanités,HSS,1,https://journals.openedition.org/questionsvives/831,,OpenEdition ; Université Aix-Marseille ,,Diamond,,,2022-03-03,catalogue openedition
2553-9221,,Cahiers Jean Moulin,FALSE,editorial board,Université de Paris (Paris Descartes),Sociétés et Humanités,HSS,1,https://journals.openedition.org/cjm/1173,,OpenEdition ; Université Jean Moulin - Lyon 3,,Diamond,,,2022-03-04,catalogue openedition
2273-0362,,Parcours anthropologiques,FALSE,editorial board,Université Paris 5,Sociétés et Humanités,HSS,1,https://journals.openedition.org/pa/213,,OpenEdition ; Université Lumière Lyon 2,,Diamond,,,2022-03-01,catalogue openedition
1951-669X,,Rursus,FALSE,reviewer,Paris VII,Sociétés et Humanités,HSS,1,https://journals.openedition.org/rursus/40,,OpenEdition ; Université Nice-Sophia Antipolis,,Diamond,,,2022-03-03,catalogue openedition
1777-5442,2008,Strates,FALSE,,,Sociétés et Humanités,HSS,,https://journals.openedition.org/strates/?page=informations,laboratoire: LADYSS,OpenEdition,,Diamond,,,2022-03-04,catalogue openedition
1878-786X,,Journal de Chirurgie Viscérale,TRUE,,hopital Saint-Louis/Lariboisière/Fernand-Widal,Santé,Health,1,https://www.sciencedirect.com/journal/journal-de-chirurgie-viscerale/about/editorial-board,association : Association Française de Chirurgie ; Société Française de Chirurgie  Digestive,Elsevier,,Hybride,Abonnement papier ; APC optionnel ; certains article en lecture après inscription sur le site (em consulting),2030,2022-02-21,nous a contacté
2296-6463,,Frontiers in Earth Science,FALSE,editorial board ; reviewer,IPGP,IPGP,ST,7,https://www.frontiersin.org/journals/earth-science/editors,,Frontiers,,Gold APC,,2670,2022-03-04,"openeditor ""ipgp"""
2624-9375,,Frontiers in Water,FALSE,editorial board,IPGP,IPGP,ST,1,https://www.frontiersin.org/journals/water/editors,,Frontiers,,Gold APC,,1040,2022-03-03,"openeditor ""ipgp"""
1475-2875,,Malaria Journal,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://malariajournal.biomedcentral.com/about/editorial-board,,BioMedCentral,,Gold APC,,2190,2022-03-03,"openeditors ""descartes"""
1546-0096,,Pediatric Rheumatology,FALSE,editorial board,"Université Paris-Descartes, Institut IMAGINE",Santé,Health,1,https://ped-rheum.biomedcentral.com/about/editorial-board,,BioMedCentral,,Gold APC,,2190,2022-03-03,"openeditors ""descartes"""
1478-7954,,Population Health Metrics,FALSE,editorial board,Université Paris Descartes,Société et Humanités,HSS,1,https://pophealthmetrics.biomedcentral.com/about/editorial-board,,BioMedCentral,,Gold APC,,1990,2022-03-03,"openeditors ""descartes"""
2590-3160,,Brill Research Perspectives in Global Youth,TRUE,,"Ceped, Université Paris Descartes/IRD",Sociétés et Humanités,HSS,1,https://brill.com/view/journals/rpgy/rpgy-overview.xml?contents=editorialcontent-49636,,Brill,,Hybride,,2150,2022-03-02,"openeditors ""descartes"""
1569-1330,,Comparative Sociology,FALSE,editorial board,Université Paris Descartes,Sociétés et Humanités,HSS,1,https://brill.com/view/journals/coso/coso-overview.xml?contents=editorialcontent-49636,,Brill,,Hybride,,2150,2022-03-02,"openeditors ""descartes"""
2588-8064,,Populism,FALSE,editorial board,Université Paris Descartes,Société et Humanités,HSS,1,https://brill.com/view/journals/popu/popu-overview.xml,,Brill,,Hybride,,2150,2022-03-03,"openeditors ""descartes"""
2589-5737,,Youth and Globalization,TRUE,editorial board,Université Paris Descartes/IRD ; Université Paris Sorbonne Cité,Société et Humanités,HSS,2,https://brill.com/view/journals/yogo/yogo-overview.xml,,Brill,,Hybride,,2150,2022-03-03,"openeditors ""descartes"""
2095-1779,,Journal of Pharmaceutical Analysis,FALSE,young Editorial Board Members,Paris Descartes University,Santé,Health,1,https://www.journals.elsevier.com/journal-of-pharmaceutical-analysis/editorial-board,,Elsevier,,Gold APC,,1626,2022-03-03,"openeditors ""descartes"""
1382-6689,,Environmental Toxicology and Pharmacology,FALSE,editorial board,University Paris Descartes Saints-Peres Centre,Santé,Health,1,https://www.journals.elsevier.com/environmental-toxicology-and-pharmacology/editorial-board,,Elsevier,,Hybride,,3595,2022-03-02,"openeditors ""descartes"""
1765-4629,,Éthique & Santé,FALSE,editorial board,"Universite Paris Descartes Faculte de Medecine, Paris, France ; Universite de Paris Institut de Psychologie, Boulogne Billancourt, France",Santé,Health,2,https://www.journals.elsevier.com/ethique-and-sante/editorial-board,,Elsevier,,Hybride,,2140,2022-03-02,"openeditors ""descartes"""
0985-0562,,Nutrition Clinique et Métabolisme,FALSE,editorial board,Universite Paris Descartes Laboratoire de biologie de la nutrition,Santé,Health,1,https://www.journals.elsevier.com/nutrition-clinique-et-metabolisme/editorial-board,,Elsevier,,Hybride,,1500,2022-03-03,"openeditors ""descartes"""
0819-8691,,History of Education Review,FALSE,editorial board,Université Paris Descartes,Société et Humanités,HSS,1,https://www.emeraldgrouppublishing.com/journal/her,,Emerald Publishing ,,Hybride,,2880,2022-03-02,"openeditors ""descartes"""
2673-6217,,Frontiers in Aging,FALSE,reviewer,"Université de Paris ; Institut Necker Enfants Malades, Université Paris Descartes",Santé,Health,2,https://www.frontiersin.org/journals/aging/editors,,Frontiers,,Gold APC,,1711,2022-03-02,"openeditors ""descartes"""
1663-4365,,Frontiers in Aging Neuroscience,FALSE,reviewer,Université de Paris,Santé ; Société et Humanités,HSS,2,https://www.frontiersin.org/journals/aging-neuroscience/editors,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""descartes"""
2673-6101,,Frontiers in Allergy,FALSE,reviewer,Université de Paris ; Université Paris Descartes,Institut Pasteur ; Santé ,Health,3,https://www.frontiersin.org/journals/allergy/editors,,Frontiers,,Gold APC,,1711,2022-03-02,"openeditors ""descartes"""
2296-2646,,Frontiers in Chemistry,FALSE,editorial board ; reviewer,Université de Paris,Santé ; Sciences,ST,3,https://www.frontiersin.org/journals/chemistry/editors,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""descartes"""
2297-900X,,Frontiers in Communication,FALSE,reviewer,Université de Paris ; Université ParisDescartes,Sciences ; Sociétés et Humanités,HSS,3,https://www.frontiersin.org/journals/communication/editors,,Frontiers,,Gold APC,,855,2022-03-02,"openeditors ""descartes"""
1662-5188,,Frontiers in Computational Neuroscience,FALSE,editorial board,Université Paris Descartes ; Institut Pasteur,Institut Pasteur ; Sciences,ST,4,https://www.frontiersin.org/journals/computational-neuroscience#editorial-board,,Frontiers,,Gold APC,,2658,2022-03-02,"openeditors ""descartes"""
2673-4915,,Frontiers in Dental Medicine,FALSE,reviewer ; editorial board,Université de Paris ; Université ParisDescartes,Santé,Health,4,https://www.frontiersin.org/journals/dental-medicine/editors,,Frontiers,,Gold APC,,1711,2022-03-02,"openeditors ""descartes"""
2674-0850,,Frontiers in Drug Delivery,FALSE,reviewer ; editorial board,Université de Paris ; Université ParisDescartes,Santé,Health,2,https://www.frontiersin.org/journals/drug-delivery/editors,,Frontiers,,Gold APC,,1711,2022-03-02,"openeditors ""descartes"""
1662-5161,,Frontiers in Human Neuroscience,FALSE,reviewer,Université ParisDescartes,Sociétés et Humanités,HSS,2,https://www.frontiersin.org/journals/human-neuroscience/editors,,Frontiers,,Gold APC,,2657,2022-03-03,"openeditors ""descartes"""
1662-5145,,Frontiers in Integrative Neuroscience,FALSE,editorial board,Université Paris Descartes ; Institut Pasteur,Institut Pasteur ; Sciences,ST,2,https://www.frontiersin.org/journals/integrative-neuroscience#editorial-board,,Frontiers,,Gold APC,,2658,2022-03-02,"openeditors ""descartes"""
1662-5129,,Frontiers in Neuroanatomy,FALSE,editorial board,Université de Paris,Sciences,ST,2,https://www.frontiersin.org/journals/neuroanatomy#editorial-board,,Frontiers,,Gold APC,,2658,2022-03-02,"openeditors ""descartes"""
2234-943X,,Frontiers in Oncology,FALSE,reviewer,Université de Paris ; Université ParisDescartes,Santé,Health,4,https://www.frontiersin.org/journals/oncology/editors,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""descartes"""
2296-2360,,Frontiers in Pediatrics,FALSE,reviewer ; editorial board,Université de Paris ; Université ParisDescartes,Santé,Health,4,https://www.frontiersin.org/journals/pediatrics/editors,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""descartes"""
2296-2565,,Frontiers in Public Health,FALSE,reviewer ; editorial board,Université de Paris ; Université ParisDescartes ; Université Paris Diderot,Santé,Health,3,https://www.frontiersin.org/journals/public-health/editors,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""descartes"""
2624-9367,,Frontiers in Sports and Active Living,FALSE,reviewer ; editorial board,Université de Paris,Sociétés et Humanités,HSS,1,https://www.frontiersin.org/journals/sports-and-active-living/editors,,Frontiers,,Gold APC,,1711,2022-03-03,"openeditors ""descartes"""
2296-875X,,Frontiers in Surgery,FALSE,reviewer ; editorial board,Université de Paris ; Université ParisDescartes,Santé,Health,3,https://www.frontiersin.org/journals/surgery/editors,,Frontiers,,Gold APC,,2243,2022-03-03,"openeditors ""descartes"""
2356-7104,,International Journal of Reproductiv …,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://www.hindawi.com/journals/ijrmed/editors/,,Hindawi,,Gold APC,,700,2022-03-03,"openeditors ""descartes"""
2090-7834,,Journal of Addiction,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://www.hindawi.com/journals/jad/editors/,,Hindawi,,Gold APC,,700,2022-03-03,"openeditors ""descartes"""
2055-1711,,EuroMed Journal of Management,FALSE,editorial board,Paris Descartes University,Sociétés et Humanités,HSS,1,https://www.inderscience.com/jhome.php?jcode=emjm#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1743-8233,,International Journal of Ad Hoc and Ubiquitous Computing,FALSE,editorial board,University of Paris Descartes,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijahuc#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1754-3924,,International Journal of Communication Networks and Distributed Systems,FALSE,editorial board,University of Paris Descartes,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijcnds#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1755-1595,,International Journal of Intelligent Defence Support Systems,FALSE,editorial board,Paris Descartes University,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijidss#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1743-8217,,International Journal of Internet Protocol Technology,FALSE,editorial board,University of Paris Descartes,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijipt#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1755-0661,,International Journal of Medical Engineering and Informatics,FALSE,editorial board,Paris Descartes University,Santé,Health,1,https://www.inderscience.com/jhome.php?jcode=ijmei#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
1746-7268,,International Journal of Mobile Learning and Organisation,FALSE,editorial board,University Paris 5 – Rene Descartes,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijmlo#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-02,"openeditors ""descartes"""
2635-1536,,International Journal of Networking …,TRUE,,University of Paris Descartes,Sciences,ST,1,https://www.inderscience.com/jhome.php?jcode=ijnsec#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-03,"openeditors ""descartes"""
2043-9040,,International Journal of Work Innovation,FALSE,editorial board,Université Paris V Descartes,Sociétés et Humanités,HSS,1,https://www.inderscience.com/jhome.php?jcode=ijwi#edboard-content,,Inderscience,TRUE,Hybride,,2703,2022-03-03,"openeditors ""descartes"""
1015-3837,,Fetal Diagnosis and Therapy,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://www.karger.com/Journal/EditorialBoard/224239,,Karger,,Subscription,,,2022-03-02,"openeditors ""descartes"""
1018-1172,,Journal of Vascular Research,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://www.karger.com/Journal/EditorialBoard/224160,,Karger,,Subscription,,,2022-03-03,"openeditors ""descartes"""
2227-9059,,Biomedicines,TRUE,editorial board,"NF-kB, Differenciation and Cancer, University Paris Descartes, Sorbonne Paris Cité",Santé,Health,5,https://www.mdpi.com/journal/biomedicines/editors,,MDPI,,Gold APC,,2153,2022-03-02,"openeditors ""descartes"""
2472-1158,,Journal of Clinical Epigenetics,FALSE,editorial board,Universities Paris Descartes-Paris Diderot,Santé,Health,1,https://clinical-epigenetics.imedpub.com/editors.php,,OMICS,TRUE,Gold APC,,850,2022-03-03,"openeditors ""descartes"""
2324-9293,,Cell Biology: Research & Therapy,FALSE,editorial board,University of Paris Descartes,Santé,Health,1,https://www.scitechnol.com/editorialboard-cell-biology-research-therapy.php,,OMICS,TRUE,Hybride,,1219,2022-03-02,"openeditors ""descartes"""
1544-9173,,PLOS Biology,FALSE,editorial board,Université Paris Descartes,Sciences,ST,1,https://journals.plos.org/plosbiology/s/editorial-board,,PLOS,,Gold APC,,4789,2022-03-03,"openeditors ""descartes"""
1553-7358,,PLOS Computational Biology,FALSE,editorial board,"Université Paris Descartes, Centre National de la Recherche Scientifique ; Institut Pasteur",Institut Pasteur ; Sciences,ST,2,https://journals.plos.org/ploscompbiol/s/editorial-board,,PLOS,,Gold APC,,2399,2022-03-03,"openeditors ""descartes"""
1553-7390,,PLOS Genetics,FALSE,editorial board,"Université Paris Descartes, INSERM U1001 ; Institut Pasteur",Institut Pasteur ; Santé ,Health,2,https://journals.plos.org/plosgenetics/s/editorial-board,,PLOS,,Gold APC,,2399,2022-03-03,"openeditors ""descartes"""
1549-1277,,PLOS Medicine,FALSE,editorial board,Université Paris Descartes,Santé,Health,1,https://journals.plos.org/plosmedicine/s/editorial-board,,PLOS,,Gold APC,,4789,2022-03-03,"openeditors ""descartes"""
1932-6203,,PLOS ONE,FALSE,editorial board,Université Paris Descartes,Sciences,ST,2,https://journals.plos.org/plosone/static/editorial-board,,PLOS,,Gold APC,,1631,2022-03-03,"openeditors ""descartes"""
1553-7366,,PLOS Pathogens,FALSE,editorial board,University Paris Descartes ; Institut Pasteur,Institut Pasteur ; Santé,Health,6,https://journals.plos.org/plospathogens/s/editorial-board,,PLOS,,Gold APC,,2399,2022-03-03,"openeditors ""descartes"""
2396-9873,,European Stroke Journal,FALSE,editorial board,Paris Descartes University,Santé,Health,1,https://journals.sagepub.com/editorial-board/esoa,,SAGE,,Subscription,,,2022-03-02,"openeditors ""descartes"""
0261-4294,,Gifted Education International,FALSE,editorial board,Paris Descartes University,Sociétés et Humanités,HSS,1,https://journals.sagepub.com/editorial-board/geia,,SAGE,,Subscription,,,2022-03-02,"openeditors ""descartes"""
0957-154X,,History of Psychiatry,FALSE,editorial board,Université Paris Descartes,Sociétés et Humanités,HSS,1,https://journals.sagepub.com/editorial-board/hpya,,SAGE,,Subscription,,,2022-03-02,"openeditors ""descartes"""
2284-0265,,Journal of Endometriosis and Pelvic …,FALSE,Social Media Editor ; editorial board,Université Paris Descartes ; University Paris Descartes,Santé,Health,2,https://journals.sagepub.com/editorial-board/peva,,SAGE,,Subscription,,,2022-03-03,"openeditors ""descartes"""
